,Gender,Unnamed: 1,Male,Female,Total,completion_month_year,year,year2,phase,Published paper,Published paper  YN,Published result in clicnicaltrials,others,R/O,official_title,source,source.1,intervention_names,Age eligible for study,Lowe limit of age < 18,Age upper limit,Age code upper limit,Study population,Country,Continent,Is there an extension study
61,NCT00175903,trinka 2012,942,746,1688,10/1/2007,2007,3,Phase 3,2,y,n,"2 publication, 1 with post hoc analysis, one is included",O,"A Therapeutic Confirmatory, Open-label, Multi-center, Randomized 2 Parallel Groups, Community-based Trial Studying the Efficacy and Safety of Levetiracetam (1000 to 3000 mg/Day Oral Tablets 250-500 mg b.i.d.) Compared to Sodium Valproate (1000 to 2000 mg/Day Oral ER Tablets 300-500 mg b.i.d.) and Carbamazepine (600 to 1600 mg/Day Oral CR Tablets 200-400 mg b.i.d.) as Monotherapy in Subjects With Newly Diagnosed Epilepsy.",UCB Pharma,1,Levetiracetam | Carbamazepine Controlled Release (CBZ-CR) | Valproate Extended Release,16 years and older,y,nil,>/75,Sweden,3,"Oceania
Europe",n
61,NCT00175903,trinka 2012,942,746,1688,10/1/2007,2007,3,Phase 3,2,y,n,"2 publication, 1 with post hoc analysis, one is included",O,"A Therapeutic Confirmatory, Open-label, Multi-center, Randomized 2 Parallel Groups, Community-based Trial Studying the Efficacy and Safety of Levetiracetam (1000 to 3000 mg/Day Oral Tablets 250-500 mg b.i.d.) Compared to Sodium Valproate (1000 to 2000 mg/Day Oral ER Tablets 300-500 mg b.i.d.) and Carbamazepine (600 to 1600 mg/Day Oral CR Tablets 200-400 mg b.i.d.) as Monotherapy in Subjects With Newly Diagnosed Epilepsy.",UCB Pharma,1,Levetiracetam | Carbamazepine Controlled Release (CBZ-CR) | Valproate Extended Release,16 years and older,y,nil,>/75,Switzerland,3,"Oceania
Europe",n
61,NCT00175903,trinka 2012,942,746,1688,10/1/2007,2007,3,Phase 3,2,y,n,"2 publication, 1 with post hoc analysis, one is included",O,"A Therapeutic Confirmatory, Open-label, Multi-center, Randomized 2 Parallel Groups, Community-based Trial Studying the Efficacy and Safety of Levetiracetam (1000 to 3000 mg/Day Oral Tablets 250-500 mg b.i.d.) Compared to Sodium Valproate (1000 to 2000 mg/Day Oral ER Tablets 300-500 mg b.i.d.) and Carbamazepine (600 to 1600 mg/Day Oral CR Tablets 200-400 mg b.i.d.) as Monotherapy in Subjects With Newly Diagnosed Epilepsy.",UCB Pharma,1,Levetiracetam | Carbamazepine Controlled Release (CBZ-CR) | Valproate Extended Release,16 years and older,y,nil,>/75,Turkey,3,"Oceania
Europe",n
61,NCT00175903,trinka 2012,942,746,1688,10/1/2007,2007,3,Phase 3,2,y,n,"2 publication, 1 with post hoc analysis, one is included",O,"A Therapeutic Confirmatory, Open-label, Multi-center, Randomized 2 Parallel Groups, Community-based Trial Studying the Efficacy and Safety of Levetiracetam (1000 to 3000 mg/Day Oral Tablets 250-500 mg b.i.d.) Compared to Sodium Valproate (1000 to 2000 mg/Day Oral ER Tablets 300-500 mg b.i.d.) and Carbamazepine (600 to 1600 mg/Day Oral CR Tablets 200-400 mg b.i.d.) as Monotherapy in Subjects With Newly Diagnosed Epilepsy.",UCB Pharma,1,Levetiracetam | Carbamazepine Controlled Release (CBZ-CR) | Valproate Extended Release,16 years and older,y,nil,>/75,United Kingdom of Great Britain and Northern Ireland,3,"Oceania
Europe",n
62,NCT00510783,2013,49,109,158,12/1/2008,2008,1,Phase 4,0,n,y,,O,IV Keppra in the Emergency Department for Prevention of Early Recurrent Seizures,Emory University,2,Keppra | Fosphenytoin | Dilantin,18 years and older,n,nil,>/75,United States of America,1,North America,n
63,NCT00327717,2014,120,97,217,5/1/2008,2008,1,Phase 3,0,n,y,,R,"A Multicenter, Placebo-controlled, Double-blind Study to Evaluate the Efficacy and Safety of Zonisamide in the Treatment of Partial Seizures",Eisai Inc.,1,Zonisamide | Placebo,16-70,y,70,65-<75,China,4,Asia,N
64,NCT00416195,2014,23,25,48,3/1/2008,2008,1,Phase 2,0,n,y,,R,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Explore the Safety And Tolerability of Doses of E2007 up to a Maximum of 12 mg In Patients With Refractory Partial Seizures",Eisai Inc.,1,E2007 | Placebo,18-70,n,70,65-<75,Latvia,3,Europe,N
65,NCT00898560,2014,0,20,20,11/1/2008,2008,1,Phase 1,0,n,y,,O,Effect of Repeated Administration of Eslicarbazepine Acetate (BIA 2-093) 800mg Once-daily on the Pharmacokinetics of a Combined Oral Contraceptive in Healthy Female Subjects,Bial - Portela C S.A.,1,eslicarbazepine acetate and MicroginonÔÎ | MicroginonÔÎ,18-40,n,40,19-54,Portugal,3,Europe,n
66,NCT00957047,2014,194,201,395,1/1/2008,2008,1,Phase 3,0,n,y,,R,"Efficacy and Safety of BIA 2-093 as Adjunctive Therapy for Refractory Partial Seizures in a Double-blind, Randomised, Placebo-controlled, Parallel-group, Multicentre Clinical Trial",Bial - Portela C S.A.,1,eslicarbazepine acetate | placebo | ESL - Part II,18 years and older,n,nil,>/75,Portugal,3,Europe,Y
67,NCT00957372,2014,113,140,253,6/1/2008,2008,1,Phase 3,0,n,y,,R,"Efficacy and Safety of BIA 2-093 as Adjunctive Therapy for Refractory Partial Seizures in a Double-blind, Randomized, Placebo-controlled, Parallel-group, Multicenter Clinical Trial",Bial - Portela C S.A.,1,eslicarbazepine acetate | placebo (Part I) | ESL - Open-label Extension (Part II),18 years and older,n,nil,>/75,Portugal,3,Europe,Y
68,NCT00232596,2016,140,165,305,1/1/2008,2008,1,Phase 3,1,y,y,"1 publication reporting pooled analysis, result from clic gov are recorded",R,"A Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Phase 3 Study to Determine the Efficacy and Safety of Retigabine (1200 mg/Day) Used as Adjunctive Therapy in Refractory Epilepsy Patients With Partial-Onset Seizures",GlaxoSmithKline,1,Retigabine | Placebo,18-75,n,75,>/75,United States of America,2,"North America
South America
",N
68,NCT00232596,2016,140,165,305,1/1/2008,2008,1,Phase 3,1,y,y,"1 publication reporting pooled analysis, result from clic gov are recorded",R,"A Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Phase 3 Study to Determine the Efficacy and Safety of Retigabine (1200 mg/Day) Used as Adjunctive Therapy in Refractory Epilepsy Patients With Partial-Onset Seizures",GlaxoSmithKline,1,Retigabine | Placebo,18-75,n,75,>/75,Argentina,2,"North America
South America
",N
68,NCT00232596,2016,140,165,305,1/1/2008,2008,1,Phase 3,1,y,y,"1 publication reporting pooled analysis, result from clic gov are recorded",R,"A Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Phase 3 Study to Determine the Efficacy and Safety of Retigabine (1200 mg/Day) Used as Adjunctive Therapy in Refractory Epilepsy Patients With Partial-Onset Seizures",GlaxoSmithKline,1,Retigabine | Placebo,18-75,n,75,>/75,Brazil,2,"North America
South America
",N
68,NCT00232596,2016,140,165,305,1/1/2008,2008,1,Phase 3,1,y,y,"1 publication reporting pooled analysis, result from clic gov are recorded",R,"A Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Phase 3 Study to Determine the Efficacy and Safety of Retigabine (1200 mg/Day) Used as Adjunctive Therapy in Refractory Epilepsy Patients With Partial-Onset Seizures",GlaxoSmithKline,1,Retigabine | Placebo,18-75,n,75,>/75,Canada,2,"North America
South America
",N
68,NCT00232596,2016,140,165,305,1/1/2008,2008,1,Phase 3,1,y,y,"1 publication reporting pooled analysis, result from clic gov are recorded",R,"A Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Phase 3 Study to Determine the Efficacy and Safety of Retigabine (1200 mg/Day) Used as Adjunctive Therapy in Refractory Epilepsy Patients With Partial-Onset Seizures",GlaxoSmithKline,1,Retigabine | Placebo,18-75,n,75,>/75,Mexico,2,"North America
South America
",N
68,NCT00232596,2016,140,165,305,1/1/2008,2008,1,Phase 3,1,y,y,"1 publication reporting pooled analysis, result from clic gov are recorded",R,"A Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Phase 3 Study to Determine the Efficacy and Safety of Retigabine (1200 mg/Day) Used as Adjunctive Therapy in Refractory Epilepsy Patients With Partial-Onset Seizures",GlaxoSmithKline,1,Retigabine | Placebo,18-75,n,75,>/75,,2,"North America
South America
",N
69,NCT00609245,2017,3,10,13,12/1/2008,2008,1,Phase 4,0,n,y,,O,Effect of Small Changes in Plasma Valproic Acid Concentration on the Photoparoxysmal Response,Vanderbilt University Medical Center,2,Valproic Acid | Placebo,15–65,y,65,65-<75,United States of America,1,North America,n
70,NCT00318929,2018,11,3,14,1/1/2008,2008,1,,0,n,y,,O,Tolerability and Efficacy of Depakote-ER in the Elderly,Virginia Commonwealth University,2,Divalproex Sodium Extended-Release Tablets,60 years and older,n,nil,>/75,United States of America,1,North America,n
71,NCT01318408,2018,13,11,24,3/1/2008,2008,3,Phase 4,0,n,y,,O,"A Prospective, Phase 4, Open-Label, Twelve-Week Study to Examine the Cognitive Impact and Tolerability of Levetiracetam (Keppra) in Elderly Patients With Seizures of Partial Onset",Drexel University,2,Levetiracetam,60–90,n,90,>/75,United States of America,1,North America,n
72,NCT00104416,Biton 2010,73,70,143,7/1/2008,2008,1,Phase 3,1,y,n,,R,"A Multicenter, Double-blind, Randomized, Parallel-group Evaluation of LAMICTAL Extended-Release Adjunctive Therapy in Patients With Primary Generalized Tonic-Clonic Seizures",GlaxoSmithKline,1,lamotrigine (LAMICTAL) extended-release | Placebo,13 years and older,y,nil,>/75,United States of America,2,"North America
South America
Europe
Asia",Y
72,NCT00104416,Biton 2010,73,70,143,7/1/2008,2008,1,Phase 3,1,y,n,,R,"A Multicenter, Double-blind, Randomized, Parallel-group Evaluation of LAMICTAL Extended-Release Adjunctive Therapy in Patients With Primary Generalized Tonic-Clonic Seizures",GlaxoSmithKline,1,lamotrigine (LAMICTAL) extended-release | Placebo,13 years and older,y,nil,>/75,Argentina,2,"North America
South America
Europe
Asia",Y
72,NCT00104416,Biton 2010,73,70,143,7/1/2008,2008,1,Phase 3,1,y,n,,R,"A Multicenter, Double-blind, Randomized, Parallel-group Evaluation of LAMICTAL Extended-Release Adjunctive Therapy in Patients With Primary Generalized Tonic-Clonic Seizures",GlaxoSmithKline,1,lamotrigine (LAMICTAL) extended-release | Placebo,13 years and older,y,nil,>/75,Brazil,2,"North America
South America
Europe
Asia",Y
72,NCT00104416,Biton 2010,73,70,143,7/1/2008,2008,1,Phase 3,1,y,n,,R,"A Multicenter, Double-blind, Randomized, Parallel-group Evaluation of LAMICTAL Extended-Release Adjunctive Therapy in Patients With Primary Generalized Tonic-Clonic Seizures",GlaxoSmithKline,1,lamotrigine (LAMICTAL) extended-release | Placebo,13 years and older,y,nil,>/75,Chile,2,"North America
South America
Europe
Asia",Y
72,NCT00104416,Biton 2010,73,70,143,7/1/2008,2008,1,Phase 3,1,y,n,,R,"A Multicenter, Double-blind, Randomized, Parallel-group Evaluation of LAMICTAL Extended-Release Adjunctive Therapy in Patients With Primary Generalized Tonic-Clonic Seizures",GlaxoSmithKline,1,lamotrigine (LAMICTAL) extended-release | Placebo,13 years and older,y,nil,>/75,Germany,2,"North America
South America
Europe
Asia",Y
72,NCT00104416,Biton 2010,73,70,143,7/1/2008,2008,1,Phase 3,1,y,n,,R,"A Multicenter, Double-blind, Randomized, Parallel-group Evaluation of LAMICTAL Extended-Release Adjunctive Therapy in Patients With Primary Generalized Tonic-Clonic Seizures",GlaxoSmithKline,1,lamotrigine (LAMICTAL) extended-release | Placebo,13 years and older,y,nil,>/75,India,2,"North America
South America
Europe
Asia",Y
72,NCT00104416,Biton 2010,73,70,143,7/1/2008,2008,1,Phase 3,1,y,n,,R,"A Multicenter, Double-blind, Randomized, Parallel-group Evaluation of LAMICTAL Extended-Release Adjunctive Therapy in Patients With Primary Generalized Tonic-Clonic Seizures",GlaxoSmithKline,1,lamotrigine (LAMICTAL) extended-release | Placebo,13 years and older,y,nil,>/75,"Korea, Republic of",2,"North America
South America
Europe
Asia",Y
72,NCT00104416,Biton 2010,73,70,143,7/1/2008,2008,1,Phase 3,1,y,n,,R,"A Multicenter, Double-blind, Randomized, Parallel-group Evaluation of LAMICTAL Extended-Release Adjunctive Therapy in Patients With Primary Generalized Tonic-Clonic Seizures",GlaxoSmithKline,1,lamotrigine (LAMICTAL) extended-release | Placebo,13 years and older,y,nil,>/75,Malaysia,2,"North America
South America
Europe
Asia",Y
72,NCT00104416,Biton 2010,73,70,143,7/1/2008,2008,1,Phase 3,1,y,n,,R,"A Multicenter, Double-blind, Randomized, Parallel-group Evaluation of LAMICTAL Extended-Release Adjunctive Therapy in Patients With Primary Generalized Tonic-Clonic Seizures",GlaxoSmithKline,1,lamotrigine (LAMICTAL) extended-release | Placebo,13 years and older,y,nil,>/75,Puerto Rico,2,"North America
South America
Europe
Asia",Y
72,NCT00104416,Biton 2010,73,70,143,7/1/2008,2008,1,Phase 3,1,y,n,,R,"A Multicenter, Double-blind, Randomized, Parallel-group Evaluation of LAMICTAL Extended-Release Adjunctive Therapy in Patients With Primary Generalized Tonic-Clonic Seizures",GlaxoSmithKline,1,lamotrigine (LAMICTAL) extended-release | Placebo,13 years and older,y,nil,>/75,Russian Federation,2,"North America
South America
Europe
Asia",Y
72,NCT00104416,Biton 2010,73,70,143,7/1/2008,2008,1,Phase 3,1,y,n,,R,"A Multicenter, Double-blind, Randomized, Parallel-group Evaluation of LAMICTAL Extended-Release Adjunctive Therapy in Patients With Primary Generalized Tonic-Clonic Seizures",GlaxoSmithKline,1,lamotrigine (LAMICTAL) extended-release | Placebo,13 years and older,y,nil,>/75,Ukraine,2,"North America
South America
Europe
Asia",Y
72,NCT00104416,Biton 2010,73,70,143,7/1/2008,2008,1,Phase 3,1,y,n,,R,"A Multicenter, Double-blind, Randomized, Parallel-group Evaluation of LAMICTAL Extended-Release Adjunctive Therapy in Patients With Primary Generalized Tonic-Clonic Seizures",GlaxoSmithKline,1,lamotrigine (LAMICTAL) extended-release | Placebo,13 years and older,y,nil,>/75,,2,"North America
South America
Europe
Asia",Y
73,NCT00235755,Brodie 2010,258,280,538,4/1/2008,2008,1,Phase 3,4,y,y,"4 publications,2 of which are non relevant 1 with pooled analysis, only study which is unique to clinical trial ID recorded",R,"Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Phase 3 Study - Determine Efficacy and Safety of Two Doses of Retigabine (900 Mg/Day and 600 Mg/Day) Used as Adjunctive Therapy in Refractory Epilepsy Patients With Partial-Onset Seizures",GlaxoSmithKline,1,Retigabine | Retigabine | Placebo,18-75,n,75,>/75,Australia,2,"Oceania
Europe
Africa
North America",N
73,NCT00235755,Brodie 2010,258,280,538,4/1/2008,2008,1,Phase 3,4,y,y,"4 publications,2 of which are non relevant 1 with pooled analysis, only study which is unique to clinical trial ID recorded",R,"Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Phase 3 Study - Determine Efficacy and Safety of Two Doses of Retigabine (900 Mg/Day and 600 Mg/Day) Used as Adjunctive Therapy in Refractory Epilepsy Patients With Partial-Onset Seizures",GlaxoSmithKline,1,Retigabine | Retigabine | Placebo,18-75,n,75,>/75,Belgium,2,"Oceania
Europe
Africa
North America",N
73,NCT00235755,Brodie 2010,258,280,538,4/1/2008,2008,1,Phase 3,4,y,y,"4 publications,2 of which are non relevant 1 with pooled analysis, only study which is unique to clinical trial ID recorded",R,"Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Phase 3 Study - Determine Efficacy and Safety of Two Doses of Retigabine (900 Mg/Day and 600 Mg/Day) Used as Adjunctive Therapy in Refractory Epilepsy Patients With Partial-Onset Seizures",GlaxoSmithKline,1,Retigabine | Retigabine | Placebo,18-75,n,75,>/75,France,2,"Oceania
Europe
Africa
North America",N
73,NCT00235755,Brodie 2010,258,280,538,4/1/2008,2008,1,Phase 3,4,y,y,"4 publications,2 of which are non relevant 1 with pooled analysis, only study which is unique to clinical trial ID recorded",R,"Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Phase 3 Study - Determine Efficacy and Safety of Two Doses of Retigabine (900 Mg/Day and 600 Mg/Day) Used as Adjunctive Therapy in Refractory Epilepsy Patients With Partial-Onset Seizures",GlaxoSmithKline,1,Retigabine | Retigabine | Placebo,18-75,n,75,>/75,Germany,2,"Oceania
Europe
Africa
North America",N
73,NCT00235755,Brodie 2010,258,280,538,4/1/2008,2008,1,Phase 3,4,y,y,"4 publications,2 of which are non relevant 1 with pooled analysis, only study which is unique to clinical trial ID recorded",R,"Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Phase 3 Study - Determine Efficacy and Safety of Two Doses of Retigabine (900 Mg/Day and 600 Mg/Day) Used as Adjunctive Therapy in Refractory Epilepsy Patients With Partial-Onset Seizures",GlaxoSmithKline,1,Retigabine | Retigabine | Placebo,18-75,n,75,>/75,Hungary,2,"Oceania
Europe
Africa
North America",N
73,NCT00235755,Brodie 2010,258,280,538,4/1/2008,2008,1,Phase 3,4,y,y,"4 publications,2 of which are non relevant 1 with pooled analysis, only study which is unique to clinical trial ID recorded",R,"Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Phase 3 Study - Determine Efficacy and Safety of Two Doses of Retigabine (900 Mg/Day and 600 Mg/Day) Used as Adjunctive Therapy in Refractory Epilepsy Patients With Partial-Onset Seizures",GlaxoSmithKline,1,Retigabine | Retigabine | Placebo,18-75,n,75,>/75,Israel,2,"Oceania
Europe
Africa
North America",N
73,NCT00235755,Brodie 2010,258,280,538,4/1/2008,2008,1,Phase 3,4,y,y,"4 publications,2 of which are non relevant 1 with pooled analysis, only study which is unique to clinical trial ID recorded",R,"Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Phase 3 Study - Determine Efficacy and Safety of Two Doses of Retigabine (900 Mg/Day and 600 Mg/Day) Used as Adjunctive Therapy in Refractory Epilepsy Patients With Partial-Onset Seizures",GlaxoSmithKline,1,Retigabine | Retigabine | Placebo,18-75,n,75,>/75,Poland,2,"Oceania
Europe
Africa
North America",N
73,NCT00235755,Brodie 2010,258,280,538,4/1/2008,2008,1,Phase 3,4,y,y,"4 publications,2 of which are non relevant 1 with pooled analysis, only study which is unique to clinical trial ID recorded",R,"Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Phase 3 Study - Determine Efficacy and Safety of Two Doses of Retigabine (900 Mg/Day and 600 Mg/Day) Used as Adjunctive Therapy in Refractory Epilepsy Patients With Partial-Onset Seizures",GlaxoSmithKline,1,Retigabine | Retigabine | Placebo,18-75,n,75,>/75,Russian Federation,2,"Oceania
Europe
Africa
North America",N
73,NCT00235755,Brodie 2010,258,280,538,4/1/2008,2008,1,Phase 3,4,y,y,"4 publications,2 of which are non relevant 1 with pooled analysis, only study which is unique to clinical trial ID recorded",R,"Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Phase 3 Study - Determine Efficacy and Safety of Two Doses of Retigabine (900 Mg/Day and 600 Mg/Day) Used as Adjunctive Therapy in Refractory Epilepsy Patients With Partial-Onset Seizures",GlaxoSmithKline,1,Retigabine | Retigabine | Placebo,18-75,n,75,>/75,South Africa,2,"Oceania
Europe
Africa
North America",N
73,NCT00235755,Brodie 2010,258,280,538,4/1/2008,2008,1,Phase 3,4,y,y,"4 publications,2 of which are non relevant 1 with pooled analysis, only study which is unique to clinical trial ID recorded",R,"Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Phase 3 Study - Determine Efficacy and Safety of Two Doses of Retigabine (900 Mg/Day and 600 Mg/Day) Used as Adjunctive Therapy in Refractory Epilepsy Patients With Partial-Onset Seizures",GlaxoSmithKline,1,Retigabine | Retigabine | Placebo,18-75,n,75,>/75,Spain,2,"Oceania
Europe
Africa
North America",N
73,NCT00235755,Brodie 2010,258,280,538,4/1/2008,2008,1,Phase 3,4,y,y,"4 publications,2 of which are non relevant 1 with pooled analysis, only study which is unique to clinical trial ID recorded",R,"Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Phase 3 Study - Determine Efficacy and Safety of Two Doses of Retigabine (900 Mg/Day and 600 Mg/Day) Used as Adjunctive Therapy in Refractory Epilepsy Patients With Partial-Onset Seizures",GlaxoSmithKline,1,Retigabine | Retigabine | Placebo,18-75,n,75,>/75,United Kingdom of Great Britain and Northern Ireland,2,"Oceania
Europe
Africa
North America",N
73,NCT00235755,Brodie 2010,258,280,538,4/1/2008,2008,1,Phase 3,4,y,y,"4 publications,2 of which are non relevant 1 with pooled analysis, only study which is unique to clinical trial ID recorded",R,"Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Phase 3 Study - Determine Efficacy and Safety of Two Doses of Retigabine (900 Mg/Day and 600 Mg/Day) Used as Adjunctive Therapy in Refractory Epilepsy Patients With Partial-Onset Seizures",GlaxoSmithKline,1,Retigabine | Retigabine | Placebo,18-75,n,75,>/75,Ukraine,2,"Oceania
Europe
Africa
North America",N
73,NCT00235755,Brodie 2010,258,280,538,4/1/2008,2008,1,Phase 3,4,y,y,"4 publications,2 of which are non relevant 1 with pooled analysis, only study which is unique to clinical trial ID recorded",R,"Randomized, Double-Blind, Placebo-Controlled, Multicenter, Parallel-Group Phase 3 Study - Determine Efficacy and Safety of Two Doses of Retigabine (900 Mg/Day and 600 Mg/Day) Used as Adjunctive Therapy in Refractory Epilepsy Patients With Partial-Onset Seizures",GlaxoSmithKline,1,Retigabine | Retigabine | Placebo,18-75,n,75,>/75,United States of America,2,"Oceania
Europe
Africa
North America",N
74,NCT00355082,French 2012,91,132,223,11/1/2008,2008,1,Phase 3,2,y,y,"2 publication, only original publication is recorded",R,"A Multicenter, Double-Blind, Randomized Conversion to Monotherapy Comparison of Two Doses of Lamotrigine for the Treatment of Partial Seizures",GlaxoSmithKline,1,"lamotrigine, 300 mg/day | lamotrigine, 250 mg/day",13 years and older,y,nil,>/75,United States of America,2,"North America
South America
Asia
Europe",Y
74,NCT00355082,French 2012,91,132,223,11/1/2008,2008,1,Phase 3,2,y,y,"2 publication, only original publication is recorded",R,"A Multicenter, Double-Blind, Randomized Conversion to Monotherapy Comparison of Two Doses of Lamotrigine for the Treatment of Partial Seizures",GlaxoSmithKline,1,"lamotrigine, 300 mg/day | lamotrigine, 250 mg/day",13 years and older,y,nil,>/75,Argentina,2,"North America
South America
Asia
Europe",Y
74,NCT00355082,French 2012,91,132,223,11/1/2008,2008,1,Phase 3,2,y,y,"2 publication, only original publication is recorded",R,"A Multicenter, Double-Blind, Randomized Conversion to Monotherapy Comparison of Two Doses of Lamotrigine for the Treatment of Partial Seizures",GlaxoSmithKline,1,"lamotrigine, 300 mg/day | lamotrigine, 250 mg/day",13 years and older,y,nil,>/75,Chile,2,"North America
South America
Asia
Europe",Y
74,NCT00355082,French 2012,91,132,223,11/1/2008,2008,1,Phase 3,2,y,y,"2 publication, only original publication is recorded",R,"A Multicenter, Double-Blind, Randomized Conversion to Monotherapy Comparison of Two Doses of Lamotrigine for the Treatment of Partial Seizures",GlaxoSmithKline,1,"lamotrigine, 300 mg/day | lamotrigine, 250 mg/day",13 years and older,y,nil,>/75,Costa Rica,2,"North America
South America
Asia
Europe",Y
74,NCT00355082,French 2012,91,132,223,11/1/2008,2008,1,Phase 3,2,y,y,"2 publication, only original publication is recorded",R,"A Multicenter, Double-Blind, Randomized Conversion to Monotherapy Comparison of Two Doses of Lamotrigine for the Treatment of Partial Seizures",GlaxoSmithKline,1,"lamotrigine, 300 mg/day | lamotrigine, 250 mg/day",13 years and older,y,nil,>/75,"Korea, Republic of",2,"North America
South America
Asia
Europe",Y
74,NCT00355082,French 2012,91,132,223,11/1/2008,2008,1,Phase 3,2,y,y,"2 publication, only original publication is recorded",R,"A Multicenter, Double-Blind, Randomized Conversion to Monotherapy Comparison of Two Doses of Lamotrigine for the Treatment of Partial Seizures",GlaxoSmithKline,1,"lamotrigine, 300 mg/day | lamotrigine, 250 mg/day",13 years and older,y,nil,>/75,Puerto Rico,2,"North America
South America
Asia
Europe",Y
74,NCT00355082,French 2012,91,132,223,11/1/2008,2008,1,Phase 3,2,y,y,"2 publication, only original publication is recorded",R,"A Multicenter, Double-Blind, Randomized Conversion to Monotherapy Comparison of Two Doses of Lamotrigine for the Treatment of Partial Seizures",GlaxoSmithKline,1,"lamotrigine, 300 mg/day | lamotrigine, 250 mg/day",13 years and older,y,nil,>/75,Russian Federation,2,"North America
South America
Asia
Europe",Y
74,NCT00355082,French 2012,91,132,223,11/1/2008,2008,1,Phase 3,2,y,y,"2 publication, only original publication is recorded",R,"A Multicenter, Double-Blind, Randomized Conversion to Monotherapy Comparison of Two Doses of Lamotrigine for the Treatment of Partial Seizures",GlaxoSmithKline,1,"lamotrigine, 300 mg/day | lamotrigine, 250 mg/day",13 years and older,y,nil,>/75,Ukraine,2,"North America
South America
Asia
Europe",Y
74,NCT00355082,French 2012,91,132,223,11/1/2008,2008,1,Phase 3,2,y,y,"2 publication, only original publication is recorded",R,"A Multicenter, Double-Blind, Randomized Conversion to Monotherapy Comparison of Two Doses of Lamotrigine for the Treatment of Partial Seizures",GlaxoSmithKline,1,"lamotrigine, 300 mg/day | lamotrigine, 250 mg/day",13 years and older,y,nil,>/75,,2,"North America
South America
Asia
Europe",Y
75,NCT00326612,holsti 2010,46,46,92,12/1/2008,2008,3,Phase 2,1,y,y,,O,Intranasal Midazolam Versus Rectal Diazepam for the Home Treatment of Seizure Activity in Pediatric Patients With Epilepsy,University of Utah,2,Midazolam | Diazepam,up to 17 years,y,17,</18,United States of America,1,North America,n
76,NCT00504881,Kwan 2013,250,230,480,12/1/2008,2008,1,Phase 3,2,y,y,"2 publication, 1 with separate analysis, in view of duplicate population, nly the original study data is extracted",R,"An International, Randomized, Double-blind, Parallel-group, Placebo-controlled, Flexible Dose Study: Evaluation of the Safety and Efficacy of Brivaracetam in Subjects (__‰ 16 to 70 Years Old) Suffering From Localization-related or Generalized Epilepsy.",UCB Pharma,1,Placebo | Brivaracetam,16-70,y,70,65-<75,Austria,3,"Europe
Asia
Africa",Y
76,NCT00504881,Kwan 2013,250,230,480,12/1/2008,2008,1,Phase 3,2,y,y,"2 publication, 1 with separate analysis, in view of duplicate population, nly the original study data is extracted",R,"An International, Randomized, Double-blind, Parallel-group, Placebo-controlled, Flexible Dose Study: Evaluation of the Safety and Efficacy of Brivaracetam in Subjects (__‰ 16 to 70 Years Old) Suffering From Localization-related or Generalized Epilepsy.",UCB Pharma,1,Placebo | Brivaracetam,16-70,y,70,65-<75,Belgium,3,"Europe
Asia
Africa",Y
76,NCT00504881,Kwan 2013,250,230,480,12/1/2008,2008,1,Phase 3,2,y,y,"2 publication, 1 with separate analysis, in view of duplicate population, nly the original study data is extracted",R,"An International, Randomized, Double-blind, Parallel-group, Placebo-controlled, Flexible Dose Study: Evaluation of the Safety and Efficacy of Brivaracetam in Subjects (__‰ 16 to 70 Years Old) Suffering From Localization-related or Generalized Epilepsy.",UCB Pharma,1,Placebo | Brivaracetam,16-70,y,70,65-<75,czechiaia,3,"Europe
Asia
Africa",Y
76,NCT00504881,Kwan 2013,250,230,480,12/1/2008,2008,1,Phase 3,2,y,y,"2 publication, 1 with separate analysis, in view of duplicate population, nly the original study data is extracted",R,"An International, Randomized, Double-blind, Parallel-group, Placebo-controlled, Flexible Dose Study: Evaluation of the Safety and Efficacy of Brivaracetam in Subjects (__‰ 16 to 70 Years Old) Suffering From Localization-related or Generalized Epilepsy.",UCB Pharma,1,Placebo | Brivaracetam,16-70,y,70,65-<75,Germany,3,"Europe
Asia
Africa",Y
